Address,Balance
0xeA69d43237090b9ad87bEc176496C34a91531082,118599218401295000
0xB6353580B72CA5cb67eA5330F6fa18Eb166f20A3,118489545336322000
0xcE7213431E776f821b713872C88e0BA05F377D94,118208295102457000
0xB617CCBA86e3bACDF9Dc8518a548472255e14331,117329055536983000
0x2e12979da9aD061cCC204C00d0e3A477A8cc4AEA,117318878624728000
0x63244b5F1EbCb999Ea012da652DFfee6653Bf8F5,116880589576840000
0x99236359ff32e977ACAD64391f3A8071A4df0e7d,116600326870751000
0x64DBB16B7CE52076C2ea456c33702F1986F6D57a,116384817557432000
0x05F97f83b71615e976C3370439D59b2eEE9C8aFB,115840214923079000
0xf1f75e5EDE05cA3C0a14C1f830dCa10e88Bde696,115796758940000000
0x4Da84F21904706e0B435e5246d4be9d5e8bC540D,115586404937948000
0xe177D7E4Ce07400c91b39e2b78E26a14E1aa3980,115257407347133000
0x9D067a1051cb998155418943Aca803a390cA566d,115030277011709000
0x350887beccf7d6ca48601689A5Eb4b5fE62A45A6,115029736185323000
0x85B348863Cf0e6d1874efaA373e2F8b12d12D72F,113856960565303000
0x85E8176dE6C03b772E3664f6e83d4492B62E8515,112966925535274000
0x7043263894578E50e6e7a0Fe7c71bA2fA27C4Be6,111893503143004000
0xB3984382789C3A265e23f68bC90dd382230aE3E2,111303978620203000
0xc26f6bd9e78b0C2F94e456639C1381B1acbe9451,110967606895359000
0xb821Bc1A9AbECcaA11aF0ed7e51fd7a882Da231D,110538928622388000
0x8cb8862f6BdE417fE7A2C5Bc3A435E7D870A68E7,110400563631360000
0xe4F0C0c2dD9118F0113b66970c8f95bC2fBb9126,110335866210098000
0xd12E723c61297a244B510779c078f54708D8462c,109113537111158000
0xDe2ae822269CC5644338046116E1b577E9d0167d,108318512923502000
0x1EB632F1eCA41ad9a9A9805177396DD7207E533F,107947485464288000
0x89DCa49d64107586fA3953EEEe7C278f355dD845,107436993622144000
0x09464735D56b1228a7b40AAC18d5A77361F57a77,106700000000000000
0x49CAC5211D6827e14820626c832B93F5Eddc0c94,106504859676847000
0xF670ed31671eeA84Ce7550aDED0eD1fb4d78C76a,106102990676003000
0xe564D9AFc3e8D7dDc99912Dbc5dB58925b414024,106028302278551000
0x59cF8038543D7C961CeEa7194614eFDA18a4C9b1,106001426764681000
0x89BF49A6DE447c08f22f1eB05Ab98e27eA779ff0,105846200024866000
0x5191741DE2E63e833F364e5f947fd33c1E884Ae2,105480373394116000
0xc107f15489D9a0E3c8bd1074F23A7736B45B12bC,104271742371765000
0xa07CDb4310245be8Cadb9918CBe1192Fe82bD8CA,103494253315379000
0x07587c046d4d4BD97C2d64EDBfAB1c1fE28A10E5,103360546226477000
0xdDE05dA1122494C9aF1694B377aDbB43B47582C9,103320379665927000
